,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
173,85*,122,94,8,3,90.42,1,not out,2,v Scotland,Dublin,12-Jul-07
174,TDNB,-,-,-,-,-,-,-,-,v Ireland,Dublin,14-Jul-07
175,2,10,9,0,0,22.22,1,caught,2,v Zimbabwe,Harare,30-Nov-07
176,58*,102,78,4,2,74.35,1,retired notout,1,v Zimbabwe,Harare,02-Dec-07
177,52,-,81,8,1,64.19,1,lbw,2,v Sri Lanka,Port of Spain,10-Apr-08
178,11,-,20,1,0,55,1,caught,2,v Sri Lanka,Port of Spain,12-Apr-08
179,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Gros Islet,15-Apr-08
180,20,37,26,3,0,76.92,2,lbw,2,v Australia,Kingstown,24-Jun-08
181,10,39,24,2,0,41.66,2,caught,2,v Australia,St George's,27-Jun-08
182,53,85,54,5,3,98.14,1,run out,1,v Australia,St George's,29-Jun-08
